ploidy,G0,R1,R2,R3,Day,Dilution Factor,Average,CellLine,G
low,0,8303.24,8195.61,8595.15,2,10,8364.666667,MCF10A,0.010070797
low,0.1,31800.3,26967,27480.2,2,10,28749.16667,MCF10A,0.035050085
low,0.25,59700,51861.7,46887.7,2,10,52816.46667,MCF10A,0.064542298
low,0.5,101906,104293,135598,2,10,113932.3333,MCF10A,0.139434047
low,1,19815.1,19862.2,19604.2,2,100,19760.5,MCF10A,0.240353193
low,5,286791,302327,323662,2,100,304260,MCF10A,3.726627068
low,25,286201,273760,320675,2,500,293545.3333,MCF10A,17.97664451
high,0,6346.75,7038.73,6596.73,2,10,6660.736667,MCF10A,0.007982791
high,0.1,6955.82,7279.33,9087.89,2,10,7774.346667,MCF10A,0.009347415
high,0.25,11941.6,15906.6,12436.7,2,10,13428.3,MCF10A,0.016275804
high,0.5,20679.1,19856.9,27832.1,2,10,22789.36667,MCF10A,0.027746911
high,1,9740.37,8711.14,8720.26,2,100,9057.256667,MCF10A,0.10919501
high,5,257142,262055,274487,2,100,264561.3333,MCF10A,3.240157234
high,25,302115,304674,304377,2,500,303722,MCF10A,18.60017192
low,0,8322.5,8294.67,8676.83,3,10,8431.333333,MCF10A,0.010152491
low,0.1,12294.3,9823.38,9339.08,3,10,10485.58667,MCF10A,0.012669785
low,0.25,13063.4,9896.33,8672.55,3,10,10544.09333,MCF10A,0.012741479
low,0.5,11342.7,12250,17576.5,3,10,13723.06667,MCF10A,0.016637012
low,1,5299.01,5601.96,4896.67,3,100,5265.88,MCF10A,0.062735253
low,5,121868,162397,158581,3,100,147615.3333,MCF10A,1.807093961
low,25,264098,245688,278325,3,500,262703.6667,MCF10A,16.08696638
high,0,5992.76,6399.3,6074.52,3,10,6155.526667,MCF10A,0.007363704
high,0.1,3573.78,3743.04,4788.91,3,10,4035.243333,MCF10A,0.004765496
high,0.25,3589.28,4449.47,5661.73,3,10,4566.826667,MCF10A,0.005416901
high,0.5,4100.73,3911.22,9397.95,3,10,5803.3,MCF10A,0.006932083
high,1,3930.86,4094.49,5446.47,3,100,4490.606667,MCF10A,0.053235008
high,5,97455.4,107036,130914,3,100,111801.8,MCF10A,1.368232784
high,25,261894,258063,252515,3,500,257490.6667,MCF10A,15.76756431
