"metric","metric_label","model_id","model_alias","pareto_rank","parameter","parameter_label","log2_effect_per_metric_unit","fit_id","best_start"
"nuclear_area","Nuclear area","1R_1P_0W_C0_M1","1R",1,"ae[1]","v1",1.19478333494913,"all_lines_nuclear_area__1r_1p_0w_c0_m1",131
"nuclear_area","Nuclear area","1R_1P_0W_C0_M1","1R",1,"ah[1]","K1",1.02844658391905,"all_lines_nuclear_area__1r_1p_0w_c0_m1",131
"nuclear_area","Nuclear area","1R_1P_0W_C0_M1","1R",1,"Y_R[1]","y1",-1.87556703173745,"all_lines_nuclear_area__1r_1p_0w_c0_m1",131
"nuclear_area","Nuclear area","1R_1P_0W_C0_M1","1R",1,"m","m",-1.46239786935458,"all_lines_nuclear_area__1r_1p_0w_c0_m1",131
"nuclear_area","Nuclear area","1R_1P_1W_C0_M0","1R,W(m)",2,"ae[1]","v1",1.36098634814892,"all_lines_nuclear_area__1r_1p_1w_c0_m0",8
"nuclear_area","Nuclear area","1R_1P_1W_C0_M0","1R,W(m)",2,"ah[1]","K1",0.999837219910706,"all_lines_nuclear_area__1r_1p_1w_c0_m0",8
"nuclear_area","Nuclear area","1R_1P_1W_C0_M0","1R,W(m)",2,"Y_R[1]","y1",-1.6710247584998,"all_lines_nuclear_area__1r_1p_1w_c0_m0",8
"nuclear_area","Nuclear area","1R_1P_1W_C0_M0","1R,W(m)",2,"m","m",-1.33008017035463,"all_lines_nuclear_area__1r_1p_1w_c0_m0",8
"nuclear_area","Nuclear area","2R_1P_0W_C0_M1","2R(a)",3,"ae[1]","v1",1.19547698272479,"all_lines_nuclear_area__2r_1p_0w_c0_m1",164
"nuclear_area","Nuclear area","2R_1P_0W_C0_M1","2R(a)",3,"ah[1]","K1",0.898208154719828,"all_lines_nuclear_area__2r_1p_0w_c0_m1",164
"nuclear_area","Nuclear area","2R_1P_0W_C0_M1","2R(a)",3,"Y_R[1]","y1",-1.66359502330873,"all_lines_nuclear_area__2r_1p_0w_c0_m1",164
"nuclear_area","Nuclear area","2R_1P_0W_C0_M1","2R(a)",3,"m","m",-0.756175130910268,"all_lines_nuclear_area__2r_1p_0w_c0_m1",164
"nuclear_area","Nuclear area","2R_2P_0W_C0_M1","2R(f)",4,"ae[1]","v1",0.962093071577208,"all_lines_nuclear_area__2r_2p_0w_c0_m1",19
"nuclear_area","Nuclear area","2R_2P_0W_C0_M1","2R(f)",4,"ah[1]","K1",0.401540376713585,"all_lines_nuclear_area__2r_2p_0w_c0_m1",19
"nuclear_area","Nuclear area","2R_2P_0W_C0_M1","2R(f)",4,"Y_R[1]","y1",-0.813642997933577,"all_lines_nuclear_area__2r_2p_0w_c0_m1",19
"nuclear_area","Nuclear area","2R_2P_0W_C0_M1","2R(f)",4,"m","m",-1.88005470778554,"all_lines_nuclear_area__2r_2p_0w_c0_m1",19
"nuclear_area","Nuclear area","2R_2P_1W_C0_M0","2R(f),W(m)",5,"ae[1]","v1",1.04969135041742,"all_lines_nuclear_area__2r_2p_1w_c0_m0",33
"nuclear_area","Nuclear area","2R_2P_1W_C0_M0","2R(f),W(m)",5,"ah[1]","K1",0.444710731927073,"all_lines_nuclear_area__2r_2p_1w_c0_m0",33
"nuclear_area","Nuclear area","2R_2P_1W_C0_M0","2R(f),W(m)",5,"Y_R[1]","y1",-0.924451859534878,"all_lines_nuclear_area__2r_2p_1w_c0_m0",33
"nuclear_area","Nuclear area","2R_2P_1W_C0_M0","2R(f),W(m)",5,"m","m",-2.18304398032408,"all_lines_nuclear_area__2r_2p_1w_c0_m0",33
