"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-fuse",0,9.71988000000005,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-fuse",0,13.46237,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MCF10A",0.1,-5.98869000000002,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MCF10A",0.1,-5.42281000000003,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MCF10A",0.1,-13.66547,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MCF10A",0.1,-16.9803199999999,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MCF10A",0.1,-25.61717,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MCF10A",0.1,29.7770300000001,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MCF10A",0.1,36.43306,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MCF10A",0.1,19.2597700000001,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MCF10A",0.1,28.8327800000001,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MCF10A",0.1,30.69271,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MDA-MB-231",0.1,-6.26703999999995,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MDA-MB-231",0.1,2.13923999999997,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MDA-MB-231",0.1,-13.07109,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MDA-MB-231",0.1,-22.82907,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MDA-MB-231",0.1,-18.58228,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MDA-MB-231",0.1,8.88411000000002,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MDA-MB-231",0.1,12.29613,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MDA-MB-231",0.1,-6.30876000000001,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MDA-MB-231",0.1,-4.31184999999999,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MDA-MB-231",0.1,2.96339,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SNU668",0.1,-6.32051999999993,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SNU668",0.1,-7.02501999999993,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SNU668",0.1,-5.75023000000004,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SNU668",0.1,4.99022000000002,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SNU668",0.1,2.70292000000001,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SNU668",0.1,-9.08025999999995,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SNU668",0.1,-7.63123999999999,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SNU668",0.1,-1.98349999999999,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SNU668",0.1,-1.02760000000001,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SNU668",0.1,-1.72946999999999,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-chem",0.1,1.52931000000001,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-chem",0.1,3.85383000000002,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-chem",0.1,3.57710999999995,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-chem",0.1,-4.62389000000002,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-chem",0.1,-1.65509999999995,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-chem",0.1,5.02751999999998,2,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-chem",0.1,6.94594000000001,2,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-chem",0.1,3.52326999999997,2,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-chem",0.1,-2.42941000000008,2,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-chem",0.1,2.32580000000002,2,"0.10"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-fuse",0.1,6.2469200000001,4,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-fuse",0.1,-9.18948,4,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-fuse",0.1,17.09591,4,"0.10"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-fuse",0.1,4.01828,4,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-fuse",0.1,3.1883600000001,4,"0.10"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-fuse",0.1,1.85049000000009,4,"0.10"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-fuse",0.1,-7.49160999999998,4,"0.10"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-fuse",0.1,17.9844,4,"0.10"
