"figure","panel","subpanel_png","width_px","height_px","width_in","height_in","order"
"Candidate supplement A","a","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_a.png",1890,1560,3.15,2.6,1
"Candidate supplement A","b","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_b.png",2250,1560,3.75,2.6,2
"Candidate supplement A","c","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_c.png",4200,1710,7,2.85,3
"Candidate supplement B","a","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_b_a.png",4200,1500,7,2.5,1
"Candidate supplement B","b","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_b_b.png",4200,2130,7,3.55,2
