"figure","panel","subpanel_png","x_in","y_in","width_in","height_in","sx","sy","x_npc","y_npc","width_npc","height_npc","input_width_in","input_height_in","layout_width_in","layout_height_in","target_width_in","max_height_in","layout_tree","layout_score","wasted_fraction","over_width_in","over_height_in","scale_note"
"Candidate supplement A","a","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_a.png",0.000173358826834669,2.93119396694337,3.1533338073793,2.60021945359779,1.00105835154899,1.00008440522992,2.48096252639194e-05,0.529917716158812,0.451278031361731,0.470082283841188,3.15,2.6,6.98756329410523,5.53141342054116,7,9.25,"[[a | b] / c]",0.0198736914851283,0.0198734229493024,0,0,"near native size"
"Candidate supplement A","b","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_b.png",3.23350716620614,2.93122134172133,3.75388276907226,2.60016470404188,1.00103540508594,1.00006334770841,0.462751753380746,0.529922665124993,0.53722343699399,0.470072385908825,3.75,2.6,6.98756329410523,5.53141342054116,7,9.25,"[[a | b] / c]",0.0198736914851283,0.0198734229493024,0,0,"near native size"
"Candidate supplement A","c","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_a_c.png",0,0,6.98756329410523,2.85119396694337,0.998223327729319,1.0004189357696,0,0,1,0.515454866626915,7,2.85,6.98756329410523,5.53141342054116,7,9.25,"[[a | b] / c]",0.0198736914851283,0.0198734229493024,0,0,"near native size"
"Candidate supplement B","a","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_b_a.png",0,3.63,7,2.5,1,1,0,0.592169657422512,1,0.407830342577488,7,2.5,7,6.13,7,9.25,"[a / b]",0.0130505709624797,0.0130505709624797,0,0,"near native size"
"Candidate supplement B","b","manuscript_figures/20260722T141236_resegmentation_fix/morphology_metric_exploration/polishing/subpanels/candidate_supplement_b_b.png",0,0,7,3.55,1,1,0,0,1,0.579119086460033,7,3.55,7,6.13,7,9.25,"[a / b]",0.0130505709624797,0.0130505709624797,0,0,"near native size"
