G,Lum
0,2731.06
0.004,3963.86
0.02,5307.86
0.1,9145.01
0.5,6599.42
2,18235.5
10,66370
25,172721
50,394920
0,2526.84
0.004,2406.38
0.02,2656.51
0.1,3336.73
0.5,5147.79
2,12321.9
10,57968
25,163229
50,366729
