ploidy,G0,R1,R2,R3,Day,Dilution Factor,Average,CellLine,G
low,0.1,4211.04,3543.14,3724.01,2,10,3826.063333,SNU668,0.007030138
low,0.25,5423.11,5419.64,5486.29,2,10,5443.013333,SNU668,0.009204054
low,0.5,11993.2,10242.8,9164.68,2,10,10466.89333,SNU668,0.015958433
low,1,6625.32,6388.6,6326.98,2,100,6446.966667,SNU668,0.105538235
low,5,184090,204163,187405,2,100,191886,SNU668,2.598681886
low,25,257520,260602,261082,2,500,259734.6667,SNU668,17.5543821
high,0,5041.44,5258.84,4729.7,2,10,5009.993333,SNU668,0.008621878
high,0.1,3299.65,3389.41,3185.26,2,10,3291.44,SNU668,0.006311361
high,0.25,4090.48,3935.79,4268.87,2,10,4098.38,SNU668,0.007396255
high,0.5,5587.59,5855,6835.95,2,10,6092.846667,SNU668,0.010077725
high,1,5245.9,5424.01,5256.89,2,100,5308.933333,SNU668,0.090237894
high,5,177690,168309,172676,2,100,172891.6667,SNU668,2.343311694
high,25,259075,266565,271716,2,500,265785.3333,SNU668,17.96112444
low,0,5430.35,6979.26,5523.88,3,10,5977.83,SNU668,0.009923091
low,0.1,2561.46,3057.99,2954.17,3,10,2857.873333,SNU668,0.00572845
low,0.25,2887.91,2644.22,2719.23,3,10,2750.453333,SNU668,0.005584029
low,0.5,2968.32,2868.68,2935.06,3,10,2924.02,SNU668,0.005817382
low,1,2990.23,3437.43,3388.87,3,100,3272.176667,SNU668,0.062854625
low,5,83571.5,87811,84138.3,3,100,85173.6,SNU668,1.163982094
low,25,237216,231895,232190,3,500,233767,SNU668,15.80876463
high,0,4867.74,5568.68,5594.69,3,10,5343.703333,SNU668,0.009070536
high,0.1,2802.69,3062.74,3579.79,3,10,3148.406667,SNU668,0.006119059
high,0.25,2882.7,2997.65,4031.02,3,10,3303.79,SNU668,0.006327965
high,0.5,3147.18,3042.32,6416.72,3,10,4202.073333,SNU668,0.007535666
high,1,2897.51,3065.62,3631.07,3,100,3198.066667,SNU668,0.061858249
high,5,5983.98,4696.89,7580.86,3,100,6087.243333,SNU668,0.100701918
high,25,231962,239520,245426,3,500,238969.3333,SNU668,16.15847968
