assay,image_key,ploidy,G0_mM,hours,well,position,red_path,cell_mask_path,nuclear_mask_path,sampling_role,n_measured,n_measured_low,n_measured_high
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F4_3_01d16h00m,2N,1,40,F4,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F4_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F4_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F4_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,459,459,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F9_3_01d16h00m,4N,1,40,F9,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F9_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F9_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F9_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,413,0,413
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m,2N,0.1,32,C3,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C3_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,261,261,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m,4N,0.1,32,C8,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C8_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,246,0,246
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m,2N,0.1,32,D3,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D3_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,332,332,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m,4N,0.1,32,D8,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D8_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,351,0,351
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m,2N,0.25,32,C4,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C4_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,274,274,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m,4N,0.25,32,C9,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C9_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,403,0,403
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m,2N,0.25,32,D4,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D4_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,277,277,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m,4N,0.25,32,D9,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D9_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,470,0,470
