assay,image_key,ploidy,G0_mM,hours,well,position,red_path,cell_mask_path,nuclear_mask_path,sampling_role,n_measured,n_measured_low,n_measured_high
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m,4N,0.5,32,C10,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C10_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,432,0,432
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m,2N,0.5,32,C5,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C5_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,292,292,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D10_3_01d08h00m,4N,0.5,32,D10,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D10_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D10_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D10_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,483,0,483
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D5_3_01d08h00m,2N,0.5,32,D5,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D5_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D5_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D5_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,323,323,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C11_2_01d08h00m,4N,1,32,C11,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C11_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C11_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C11_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,520,0,520
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C6_2_01d08h00m,2N,1,32,C6,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_C6_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C6_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C6_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,304,304,0
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D11_3_01d08h00m,4N,1,32,D11,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D11_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D11_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D11_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,521,0,521
I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D6_3_01d08h00m,2N,1,32,D6,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_alive_D6_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D6_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D6_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,448,448,0
J00 mixture,SUM159_J00_Competition_G4_3_01d08h00m,mixed,0.1,32,G4,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G4_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G4_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G4_3_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,301,181,120
J00 mixture,SUM159_J00_Competition_G5_2_01d08h00m,mixed,0.1,32,G5,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G5_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G5_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G5_2_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,343,191,152
J00 mixture,SUM159_J00_Competition_F5_3_01d16h00m,mixed,0.1,40,F5,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F5_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F5_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F5_3_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,276,141,135
J00 mixture,SUM159_J00_Competition_G5_4_01d16h00m,mixed,0.1,40,G5,4,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G5_4_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G5_4_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G5_4_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,245,123,122
J00 mixture,SUM159_J00_Competition_F7_1_01d08h00m,mixed,0.25,32,F7,1,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F7_1_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F7_1_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F7_1_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,404,193,211
J00 mixture,SUM159_J00_Competition_F7_3_01d08h00m,mixed,0.25,32,F7,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F7_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F7_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F7_3_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,370,159,211
J00 mixture,SUM159_J00_Competition_F8_3_01d08h00m,mixed,0.5,32,F8,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F8_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F8_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F8_3_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,238,118,120
J00 mixture,SUM159_J00_Competition_F9_4_01d08h00m,mixed,0.5,32,F9,4,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F9_4_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F9_4_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F9_4_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,276,116,160
J00 mixture,SUM159_J00_Competition_F8_4_01d16h00m,mixed,0.5,40,F8,4,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F8_4_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F8_4_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F8_4_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,385,156,229
J00 mixture,SUM159_J00_Competition_F9_2_01d16h00m,mixed,0.5,40,F9,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F9_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F9_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F9_2_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,422,222,200
J00 mixture,SUM159_J00_Competition_G10_1_01d08h00m,mixed,1,32,G10,1,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G10_1_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G10_1_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G10_1_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,475,247,228
J00 mixture,SUM159_J00_Competition_G11_1_01d08h00m,mixed,1,32,G11,1,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G11_1_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G11_1_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G11_1_01d08h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,442,229,213
J00 mixture,SUM159_J00_Competition_F11_1_01d16h00m,mixed,1,40,F11,1,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_F11_1_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_F11_1_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_F11_1_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,616,316,300
J00 mixture,SUM159_J00_Competition_G11_2_01d16h00m,mixed,1,40,G11,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/BreastCancerCellLines/SUM-159/J00_IncucyteRawDataLiveDead_Competition/Red/Red_G11_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/cell/SUM159_J00_Competition_G11_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217/masks/nuclear/SUM159_J00_Competition_G11_2_01d16h00m_nuclear_masks.tif,two random fields per matched condition-time stratum,654,305,349
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m,2N,0.1,32,C3,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C3_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,74,74,0
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m,4N,0.1,32,C8,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C8_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,131,0,131
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m,2N,0.1,32,D3,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_D3_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,56,56,0
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m,4N,0.1,32,D8,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_D8_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,157,0,157
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m,2N,0.25,32,C4,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C4_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,179,179,0
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m,4N,0.25,32,C9,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C9_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,134,0,134
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m,2N,0.25,32,D4,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_D4_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,61,61,0
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m,4N,0.25,32,D9,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_D9_3_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,155,0,155
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m,4N,0.5,32,C10,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C10_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,174,0,174
M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m,2N,0.5,32,C5,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_alive_C5_2_01d08h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,175,175,0
