context,G0_mM,hours,ploidy_state,n_objects,n_images,n_wells,q10,median,q90,metric
C00 fuse,0.5,8,low,3983,24,6,562,965,1708.8,cell
C00 fuse,0.5,16,low,5333,24,6,842.2,1467,2422,cell
C00 fuse,0.5,24,low,6040,24,6,1045,1863,2997,cell
C00 fuse,0.5,32,low,6710,24,6,1093,2080,3375.1,cell
C00 fuse,0.5,40,low,7336,24,6,1104.5,2094,3488,cell
C00 fuse,0.5,48,low,7477,24,6,1106.6,2036,3504,cell
C00 fuse,0.5,56,low,7484,24,6,1030.3,1934,3441.7,cell
C00 fuse,0.5,64,low,7099,24,6,981,1810,3313.6,cell
C00 fuse,0.5,72,low,4324,24,6,750.3,1544.5,3021.5,cell
C00 fuse,0.5,80,low,2029,24,6,582,1309,2799.4,cell
C00 fuse,0.5,88,low,680,24,6,472,1159.5,3191.6,cell
C00 fuse,0.5,96,low,176,24,6,323.5,1020,3558,cell
