context,G0_mM,hours,ploidy_state,n_objects,n_images,n_wells,q10,median,q90,metric
C00 fuse,0.5,104,low,136,23,6,370,774,2286.5,cell
C00 fuse,0.5,112,low,83,24,6,307,561,2025.2,cell
C00 fuse,0.5,120,low,93,23,6,281,521,1490,cell
C00 fuse,0.5,128,low,106,24,6,236.5,491,1074,cell
C00 fuse,0.5,136,low,101,24,6,214,411,1001,cell
C00 fuse,0.5,144,low,141,24,6,170,341,840,cell
C00 fuse,1,8,low,3990,24,6,559.9,941,1649,cell
C00 fuse,1,16,low,5511,24,6,831,1428,2310,cell
C00 fuse,1,24,low,6355,24,6,1016.4,1813,2948.2,cell
C00 fuse,1,32,low,7722,24,6,1040,1914,3283.6,cell
C00 fuse,1,40,low,9181,24,6,1090,2003,3506,cell
C00 fuse,1,48,low,10043,24,6,1118,2043,3615.8,cell
C00 fuse,1,56,low,10265,24,6,1092,2002,3593,cell
C00 fuse,1,64,low,10062,24,6,1022,1844.5,3476.9,cell
C00 fuse,1,72,low,9423,24,6,918,1669,3253.8,cell
C00 fuse,1,80,low,5916,24,6,699,1428,2886,cell
C00 fuse,1,88,low,2618,24,6,503.7,1146,2647.5,cell
C00 fuse,1,96,low,989,24,6,418,896,2526,cell
C00 fuse,1,104,low,354,24,6,338.6,676.5,2486.5,cell
C00 fuse,1,112,low,204,24,6,299,520,1671,cell
C00 fuse,1,120,low,164,24,6,300.3,493.5,1563.6,cell
C00 fuse,1,128,low,175,24,6,275.4,447,819.8,cell
C00 fuse,1,136,low,166,24,6,295.5,461.5,812,cell
C00 fuse,1,144,low,122,23,6,257.5,419,788.3,cell
C00 fuse,0.5,8,high,3682,24,6,590,983,1630.9,cell
C00 fuse,0.5,16,high,5309,24,6,823.8,1474,2403.4,cell
C00 fuse,0.5,24,high,6450,24,6,840,1605,2620,cell
C00 fuse,0.5,32,high,7811,24,6,801,1460,2540,cell
C00 fuse,0.5,40,high,8413,24,6,747,1310,2396.8,cell
C00 fuse,0.5,48,high,7773,24,6,702,1267,2388.8,cell
C00 fuse,0.5,56,high,5351,24,6,583,1121,2198,cell
C00 fuse,0.5,64,high,2805,24,6,493.8,960,2033.8,cell
C00 fuse,0.5,72,high,1136,24,6,422.5,924,2212.5,cell
C00 fuse,0.5,80,high,517,24,6,395,885,2491.4,cell
C00 fuse,0.5,88,high,268,23,6,365.2,883,2525.6,cell
C00 fuse,0.5,96,high,194,23,6,403.2,1005.5,2450.4,cell
C00 fuse,0.5,104,high,144,24,6,343.6,785,2210.8,cell
C00 fuse,0.5,112,high,134,24,6,284.6,675.5,1986.7,cell
C00 fuse,0.5,120,high,119,24,6,242.4,587,1922,cell
C00 fuse,0.5,128,high,96,24,6,233.5,517.5,1759.5,cell
C00 fuse,0.5,136,high,102,23,6,240.6,530.5,1737.9,cell
C00 fuse,0.5,144,high,93,23,6,156.6,408,1435.4,cell
C00 fuse,1,8,high,3879,24,6,595,1004,1673.2,cell
C00 fuse,1,16,high,5684,24,6,823,1446.5,2352,cell
C00 fuse,1,24,high,7327,24,6,768,1496,2459,cell
C00 fuse,1,32,high,10193,24,6,736,1373,2344.8,cell
C00 fuse,1,40,high,12023,24,6,707,1319,2300.6,cell
C00 fuse,1,48,high,12696,24,6,649,1192,2129,cell
C00 fuse,1,56,high,11025,24,6,628,1171,2127,cell
C00 fuse,1,64,high,5157,24,6,497,1049,2125.4,cell
C00 fuse,1,72,high,1925,24,6,436,970,2109.8,cell
C00 fuse,1,80,high,772,24,6,389,856,2108.3,cell
C00 fuse,1,88,high,383,24,6,375.8,825,2314.2,cell
C00 fuse,1,96,high,221,24,6,387,623,2112,cell
C00 fuse,1,104,high,157,24,6,345.6,532,1636.2,cell
C00 fuse,1,112,high,108,22,6,264.7,500,1726.4,cell
C00 fuse,1,120,high,97,22,6,245.6,476,1357.2,cell
C00 fuse,1,128,high,96,21,6,154.5,425.5,979,cell
C00 fuse,1,136,high,122,24,6,191.2,383,848.4,cell
C00 fuse,1,144,high,124,24,6,177.7,350,841.8,cell
I00 fuse,0.5,0,high,2501,16,4,365,620,1159,cell
I00 fuse,0.5,8,high,3140,16,4,560,968,1746.1,cell
I00 fuse,0.5,16,high,4187,16,4,784.8,1432,2308.4,cell
I00 fuse,0.5,24,high,5180,16,4,716,1434.5,2384.4,cell
I00 fuse,0.5,32,high,7298,16,4,719,1338,2143.3,cell
I00 fuse,0.5,40,high,8191,16,4,718,1330,2154,cell
I00 fuse,0.5,48,high,8984,16,4,682.3,1234,2043.7,cell
I00 fuse,0.5,56,high,9161,16,4,640,1156,1940,cell
I00 fuse,0.5,64,high,8225,16,4,562.4,1061,1864,cell
I00 fuse,0.5,80,high,5236,16,4,466,905,1743,cell
I00 fuse,0.5,88,high,4178,16,4,469.7,911,1753,cell
I00 fuse,0.5,96,high,3591,16,4,479,898,1685,cell
I00 fuse,0.5,104,high,2845,16,4,466,889,1680.2,cell
I00 fuse,0.5,112,high,2070,16,4,458,860,1673.5,cell
I00 fuse,0.5,120,high,1110,16,4,442.9,857.5,1627.8,cell
I00 fuse,1,0,high,2348,16,4,367,610,1091.6,cell
I00 fuse,1,8,high,3063,16,4,569,971,1692,cell
I00 fuse,1,16,high,4133,16,4,780,1405,2266.8,cell
I00 fuse,1,24,high,5344,16,4,656,1316,2219.7,cell
I00 fuse,1,32,high,7967,16,4,690,1269,2003,cell
I00 fuse,1,40,high,10097,16,4,611,1211,2030.4,cell
I00 fuse,1,48,high,11921,16,4,607,1123,1878,cell
I00 fuse,1,56,high,12526,16,4,606,1079,1779,cell
I00 fuse,1,64,high,12038,16,4,588,1057,1741.3,cell
I00 fuse,1,80,high,8868,16,4,488,907,1629.3,cell
I00 fuse,1,88,high,7229,16,4,452,858,1596,cell
I00 fuse,1,96,high,5725,16,4,450,852,1595.2,cell
I00 fuse,1,104,high,4740,16,4,460,852,1570,cell
I00 fuse,1,112,high,3749,16,4,438,817,1513.2,cell
I00 fuse,1,120,high,2182,16,4,443,812.5,1500.6,cell
I00 fuse,0.5,0,low,2614,16,4,414,720,1346,cell
I00 fuse,0.5,8,low,3265,16,4,501.4,860,1525.2,cell
I00 fuse,0.5,16,low,4428,16,4,726,1258.5,2042.6,cell
