context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,5,0.634593768387785,0.528207738494364,14,17,-0.106386029893421
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,6,0.732274351533457,0.467532736955882,15,19,-0.264741614577575
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,7,0.506780090027485,0.362872633236323,23,20,-0.143907456791162
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,8,0.6400971092109,0.377209267190436,23,17,-0.262887842020464
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,9,0.586368923357566,0.302406497010009,16,24,-0.283962426347557
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,10,0.588072550743652,0.49682591116428,19,13,-0.0912466395793718
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,2,1.01723749751115,0.532458479270474,15,11,-0.484779018240672
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,3,0.858653597920257,0.628722280447666,11,23,-0.229931317472591
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,4,0.848744404735956,0.58512091022069,14,26,-0.263623494515267
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,5,0.741664997563455,0.400323889548006,12,24,-0.341341108015449
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,6,0.838924165769994,0.417548033497285,15,23,-0.421376132272709
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,7,0.5123924014146,0.439036611999876,16,31,-0.0733557894147232
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,8,0.640024067257001,0.470075499426573,30,19,-0.169948567830429
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,9,0.575898811688388,0.472647503291311,20,22,-0.103251308397077
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,10,0.565517240930837,0.616814684737573,21,19,0.0512974438067354
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,2,1.11649459626596,0.478391429985586,15,10,-0.638103166280372
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,7,0.522604261846928,0.45116414301755,11,15,-0.0714401188293782
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,8,0.685834943705677,0.432736942999321,10,16,-0.253098000706355
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,9,0.576084765509712,0.333426121773785,17,20,-0.242658643735927
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,5,0.809979757492102,0.541321265618854,12,15,-0.268658491873248
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,7,0.922272094729849,0.49680621619109,14,15,-0.425465878538759
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,9,0.638693483441785,0.369213247512645,21,15,-0.26948023592914
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,10,0.742489068101612,0.326204054187304,26,27,-0.416285013914308
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,2,0.580687477622969,0.502645961085632,14,19,-0.0780415165373363
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,3,1.00599096091552,0.488395069318493,12,21,-0.517595891597025
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,4,0.626887853567489,0.393593690744037,19,18,-0.233294162823453
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,5,0.777193056851548,0.478179605036757,11,17,-0.29901345181479
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,6,0.593448274062655,0.393500930825744,15,33,-0.199947343236911
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,7,0.49444598430856,0.369374447117493,15,24,-0.125071537191067
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,8,0.748001139525171,0.275228324605857,19,27,-0.472772814919314
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,9,0.405737819246913,0.236438353013901,20,27,-0.169299466233012
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,10,0.631139968222025,0.444855047830606,22,22,-0.18628492039142
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,1,0.87457400412848,0.309871086584353,25,20,-0.564702917544127
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,2,0.51683186286499,0.622076677099587,12,20,0.105244814234597
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,3,0.489715864237012,0.447450574951144,14,31,-0.0422652892858687
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,4,0.686304742890456,0.347031012133527,31,19,-0.339273730756929
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,5,0.695409097080955,0.431703758264516,17,22,-0.263705338816438
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,6,0.59967543332026,0.240098485982665,22,24,-0.359576947337595
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,7,0.593173730783786,0.453513106413493,17,23,-0.139660624370293
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,8,0.589713147175663,0.300559111453363,22,16,-0.2891540357223
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,9,0.422246096575283,0.284070489779353,29,13,-0.138175606795931
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,10,0.664751577868052,0.255332936416147,33,12,-0.409418641451905
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,1,0.799322053758,0.600788998257636,32,17,-0.198533055500364
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,2,1.16793169577365,0.54869616033422,27,32,-0.619235535439435
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,3,0.741248429975415,0.536668794965394,30,20,-0.204579635010022
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,4,0.723451247518013,0.437068650498328,32,19,-0.286382597019685
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,5,0.635899922871019,0.35688836015128,25,32,-0.279011562719739
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,6,0.788863008775298,0.28103614776904,17,31,-0.507826861006258
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,7,0.478317693613354,0.255990936532172,20,22,-0.222326757081182
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,8,0.44461775674362,0.169478722473887,16,29,-0.275139034269733
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,9,0.733948195364583,0.262048958415827,15,19,-0.471899236948756
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,1,1.14845507052132,0.476112213536467,29,23,-0.672342856984851
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,2,0.912150306661223,0.606600375976753,25,21,-0.305549930684471
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,3,0.674932067028778,0.529797431562889,36,27,-0.145134635465889
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,4,0.765849137945507,0.575560716117604,19,27,-0.190288421827904
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,5,0.698382317113756,0.512949049876567,24,26,-0.185433267237189
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,6,0.355240235240256,0.455309037247888,17,24,0.100068802007632
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,7,0.505264743548343,0.413421852592069,23,21,-0.0918428909562738
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,8,0.448884617690145,0.338989007479441,16,25,-0.109895610210704
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,10,0.578199303230307,0.195786249829402,19,11,-0.382413053400905
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,1,0.710813537531971,0.567487068094245,22,41,-0.143326469437726
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,2,0.643782381552949,0.52841379014158,28,47,-0.115368591411369
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,3,0.839867454981664,0.451937180602461,31,24,-0.387930274379203
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,4,0.681575030220453,0.368714334445516,30,35,-0.312860695774937
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,5,0.63977147663445,0.360851429539558,29,40,-0.278920047094891
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,6,0.8485472756922,0.344102127512711,44,26,-0.50444514817949
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,7,0.631413077261701,0.172614092818839,33,21,-0.458798984442862
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,8,0.639858874346522,0.313781622079833,26,26,-0.32607725226669
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,9,0.535701748115227,0.229238420404967,34,28,-0.30646332771026
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,10,0.627504015958095,0.31005241226636,39,12,-0.317451603691735
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,1,0.746141369700328,0.923668987087993,31,61,0.177527617387666
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,2,1.03301522562717,0.628898950518742,24,42,-0.404116275108432
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,3,0.880638981047185,0.407720104673895,31,43,-0.472918876373291
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,4,0.566930535384489,0.37138229106852,35,44,-0.195548244315968
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,5,0.622943350377008,0.372079687185949,32,41,-0.250863663191059
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,6,0.431622376694363,0.32465083479682,27,27,-0.106971541897543
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,7,0.428735171559217,0.314802980396307,31,31,-0.11393219116291
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,8,0.520324063146558,0.252087619261414,30,27,-0.268236443885144
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,9,0.599055869366454,0.257481161026429,36,26,-0.341574708340025
