context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,3,0.7714165305894,0.498839082661422,11,82,-0.272577447927979
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,4,1.24094362885746,0.478226601253716,23,80,-0.762717027603744
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,5,0.612399281099933,0.386937215081185,27,52,-0.225462066018747
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,6,0.979191007103216,0.383214376473684,18,56,-0.595976630629532
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,7,0.644449715546424,0.352367130430162,42,36,-0.292082585116262
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,8,0.549915833144669,0.459159979913217,47,28,-0.0907558532314517
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,9,0.614474971303339,0.230159022146072,56,39,-0.384315949157267
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,10,0.626897784100209,0.3104007935048,71,27,-0.316496990595409
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,1,0.530399741139992,0.787951689712366,17,49,0.257551948572374
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,2,0.731429445089902,0.504122305983247,16,57,-0.227307139106654
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,3,0.629719143182919,0.383942056387627,24,51,-0.245777086795292
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,4,0.793089098502247,0.429925314674934,32,57,-0.363163783827313
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,5,0.715342475621512,0.445598293768317,62,43,-0.269744181853194
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,6,0.600699578995315,0.385749679236362,45,53,-0.214949899758952
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,7,0.724143283697437,0.301558904227457,58,27,-0.422584379469981
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,8,0.736523606521237,0.341170291972971,74,32,-0.395353314548267
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,9,0.625078828952765,0.346236821752685,61,20,-0.278842007200079
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,10,0.54605815308558,0.314169296084498,70,24,-0.231888857001082
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,2,1.00684533840294,0.834667735899317,13,31,-0.172177602503628
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,3,0.805150072679441,0.512706858459856,22,22,-0.292443214219585
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,4,0.913820310714459,0.479448127032769,32,26,-0.43437218368169
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,5,0.760667798095645,0.634139097449031,25,27,-0.126528700646614
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,6,0.722717440419968,0.610962521942476,30,16,-0.111754918477492
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,7,0.677473554884533,0.502774451784644,31,26,-0.174699103099889
