context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
I00 fuse,0.25,120,low,282,1079,491,2580.4,184.5,85.3,399.2,SUM-159-fuse I00,0.25 mM
I00 fuse,0.5,0,low,2613,720,414.2,1346,150,96,243,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,8,low,3264,860,502.3,1525.4,134.5,95,207,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,16,low,4427,1259,726.6,2042.8,152,108,227,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,24,low,5013,1654,954.4,2617,184,125,264,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,32,low,5763,1827,969.2,3033.8,201,129,287,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,40,low,6654,1793,955.3,3139.4,206,137,299,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,48,low,7136,1777,979,3220,215,147,318,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,56,low,7227,1721,954,3215.4,219,151,326,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,64,low,7178,1684,933,3136.6,220,149,333,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,80,low,6420,1501,784,2981.1,203,134,323,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,88,low,5312,1417,696,2915.9,196,123,323,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,96,low,3882,1362,628.1,2878.8,191,115,318,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,104,low,2694,1293,576,2821.4,187,100.3,333.400000000001,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,112,low,1674,1266,548,2763.8,190,90,372,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,0.5,120,low,735,1224,505.6,2895,200,84,400,SUM-159-fuse I00,★ 0.5 mM
I00 fuse,1,0,low,2349,712,413.8,1308,149,97,235,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,8,low,2968,857,515,1514.6,136,96,210,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,16,low,4128,1214,701.7,2021.3,152,110,225.3,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,24,low,4730,1614,911,2578.3,183,124,268.1,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,32,low,6060,1642,897.9,2812.2,193,125.9,287,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,40,low,7432,1720,953.1,2992,205,137,303,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,48,low,8373,1785,956,3100,220,144,322,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,56,low,8963,1730,929,3090,227,151,335,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,64,low,8979,1648,899,3065,230,155,344,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,80,low,8591,1418,764,2761,226,150,348,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,88,low,7619,1288,693,2604.4,216,137,344,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,96,low,6015,1219,608,2540.4,206,122,338,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,104,low,4116,1186,563.5,2581.5,198,105,329,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,112,low,2309,1201,523,2692.4,191,86.8,338,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,120,low,1012,1160,456.1,2854.1,186.5,75,350,SUM-159-fuse I00,★ 1 mM
I00 fuse,0,0,high,2978,686.5,412,1306.6,125,82.7,186,SUM-159-fuse I00,0 mM
I00 fuse,0,8,high,3595,1114,631.4,1932.6,154,113,233,SUM-159-fuse I00,0 mM
I00 fuse,0,16,high,4127,1364,773.6,2198.4,170,124,243,SUM-159-fuse I00,0 mM
I00 fuse,0,24,high,4222,1462,827,2343.9,185,136,259,SUM-159-fuse I00,0 mM
I00 fuse,0,32,high,4023,1492,801,2472,195,143,270,SUM-159-fuse I00,0 mM
I00 fuse,0,40,high,3399,1410,737.8,2347.4,201,141,278,SUM-159-fuse I00,0 mM
I00 fuse,0,48,high,2611,1333,677,2275,205,137,295,SUM-159-fuse I00,0 mM
I00 fuse,0,56,high,1750,1237,584,2328.1,202,126,292,SUM-159-fuse I00,0 mM
I00 fuse,0,64,high,985,1162,536.8,2320,202,112,294,SUM-159-fuse I00,0 mM
I00 fuse,0,80,high,230,1125,494.8,2393.9,210.5,128.3,312,SUM-159-fuse I00,0 mM
I00 fuse,0,88,high,117,927,460.4,2116.8,208,115,316.2,SUM-159-fuse I00,0 mM
I00 fuse,0,96,high,70,978,397.9,1877.9,217.5,103.7,295.1,SUM-159-fuse I00,0 mM
I00 fuse,0,104,high,69,830,286.8,1824.4,183,51.8,311,SUM-159-fuse I00,0 mM
I00 fuse,0,112,high,49,732,329.8,2275,199,93.6,347.6,SUM-159-fuse I00,0 mM
I00 fuse,0,120,high,46,548.5,329,2196,154.5,75.5,299,SUM-159-fuse I00,0 mM
I00 fuse,0.1,0,high,2804,647,391,1202.7,129,83,193,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,8,high,3385,1036,607.4,1841.6,157,115,237,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,16,high,4266,1438,798,2269,179,129,249,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,24,high,4613,1596,884.2,2528.8,203,145,275,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,32,high,5009,1527,818,2583.8,212,142,286,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,40,high,5255,1416,731,2523.6,208,142,291,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,48,high,4804,1267.5,701,2383.5,206,144,299,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,56,high,3713,1135,601,2192,198,132,302,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,64,high,2415,1054,527,2273.8,189,114.4,294.6,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,80,high,931,1086,512,2499,194,107,325,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,88,high,611,1080,517,2493,201,100,354,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,96,high,329,1134,464.4,2751.4,214,110,376.8,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,104,high,214,997,356.2,2588.3,204.5,104.5,387.7,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,112,high,147,856,354.4,2586.2,203,103.4,404.2,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,120,high,96,936.5,353.5,2488,210.5,100.5,431,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.25,0,high,2869,626,379,1160.6,131,83,202.2,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,8,high,3450,964.5,573,1726,160,116,243,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,16,high,4554,1443,786.3,2305,184,131,256,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,24,high,5103,1584,821.4,2568.8,211,141,285,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,32,high,6586,1367,714,2270,203,135,280,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,40,high,7599,1307,727,2200.2,205,143,283,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,48,high,7708,1268,691.7,2192,205,146,286,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,56,high,6907,1154,625,2091,196,135,284,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,64,high,5375,996,522,1907.2,182,115,278,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,80,high,2925,983,496,1900.6,182,103,290,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,88,high,2345,1024,514.4,2010,189,101,308.6,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,96,high,1831,1017,512,1976,195,106,330,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,104,high,1340,963.5,500,1935.2,205,108,340.1,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,112,high,844,945.5,479.3,1980.8,206,101,369.1,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,120,high,416,954.5,424,1919,211,106.5,357,SUM-159-fuse I00,0.25 mM
M00b chem,0.5,0,high,2067,650,386,1105.6,174,100,299.4,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,8,high,2162,895,486.1,1600,152,100,243,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,16,high,2334,1265,667.6,2331.1,169,110,282,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,24,high,2369,1593,763.6,2996.6,191,123,322.2,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,32,high,2577,1606,748,3348.4,202,122,351,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,40,high,2695,1608,727.4,3516.6,210,123.4,383.6,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,48,high,2721,1523,694,3403,214,130,390,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,56,high,2699,1494,687.8,3442.6,219,135,416,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,64,high,2659,1409,675,3474.4,228,140,443.2,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,72,high,2548,1389.5,656,3445.9,230,133,435.6,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,80,high,2295,1310,636.8,3432.6,228,128.4,450,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,88,high,1906,1295.5,600,3234.5,226,121,441.5,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,96,high,1669,1286,604,3251.8,232,120,461.4,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,104,high,1398,1343,575.7,3285,234.5,111,471.3,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,112,high,1077,1378,615,3426.4,239,114,472.4,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,120,high,851,1378,537,3755,238,110,480,SUM-159-chem M00b,★ 0.5 mM
M00b chem,1,0,high,2340,653,379.8,1150,172,100,302,SUM-159-chem M00b,★ 1 mM
M00b chem,1,8,high,2410,863,481,1589.1,151,96,239,SUM-159-chem M00b,★ 1 mM
M00b chem,1,16,high,2568,1268,639.7,2286.6,172,108,284,SUM-159-chem M00b,★ 1 mM
M00b chem,1,24,high,2739,1501,731.6,2868.6,190,122,323.2,SUM-159-chem M00b,★ 1 mM
M00b chem,1,32,high,3115,1490,707.4,3031,194,118,343,SUM-159-chem M00b,★ 1 mM
M00b chem,1,40,high,3719,1478,686.8,3131.6,196,121,357,SUM-159-chem M00b,★ 1 mM
M00b chem,1,48,high,3984,1480.5,695.3,3300.9,204,127,376,SUM-159-chem M00b,★ 1 mM
M00b chem,1,56,high,3977,1367,654.6,3237.2,209,130,390,SUM-159-chem M00b,★ 1 mM
M00b chem,1,64,high,3881,1286,645,3127,215,134,400,SUM-159-chem M00b,★ 1 mM
M00b chem,1,72,high,3544,1224.5,590,3134.4,214,133.3,417,SUM-159-chem M00b,★ 1 mM
M00b chem,1,80,high,2599,1190,571,3124.8,221,120.8,427.2,SUM-159-chem M00b,★ 1 mM
M00b chem,1,88,high,1681,1252,549,3277,228,108,460,SUM-159-chem M00b,★ 1 mM
M00b chem,1,96,high,1144,1172,553.3,3286.4,229.5,110,459.4,SUM-159-chem M00b,★ 1 mM
M00b chem,1,104,high,819,1242,497.2,3376.2,229,103,494.6,SUM-159-chem M00b,★ 1 mM
M00b chem,1,112,high,598,1222,544.7,3577.3,231,90.7,475.100000000001,SUM-159-chem M00b,★ 1 mM
M00b chem,1,120,high,445,1291,528.4,3854,239,95.4,507,SUM-159-chem M00b,★ 1 mM
M00b chem,0,0,low,1069,385,245.8,624,106,67,167.2,SUM-159-chem M00b,0 mM
M00b chem,0,8,low,886,503,331.5,799,97,71,148.5,SUM-159-chem M00b,0 mM
M00b chem,0,16,low,888,580,381,898.3,101,76.7,161.3,SUM-159-chem M00b,0 mM
M00b chem,0,24,low,831,642,405,1085,111,82,185,SUM-159-chem M00b,0 mM
M00b chem,0,32,low,809,721,443.8,1147.4,120,87,193,SUM-159-chem M00b,0 mM
M00b chem,0,40,low,770,782,460.8,1289.7,130,93.9,222.2,SUM-159-chem M00b,0 mM
M00b chem,0,48,low,780,822.5,483.8,1306.3,139.5,100,224.2,SUM-159-chem M00b,0 mM
M00b chem,0,56,low,720,861.5,492,1365.6,149,103.9,250,SUM-159-chem M00b,0 mM
M00b chem,0,64,low,703,868,501.6,1431.8,155,106,246,SUM-159-chem M00b,0 mM
M00b chem,0,72,low,667,883,513.6,1559.2,162,109.6,261,SUM-159-chem M00b,0 mM
M00b chem,0,80,low,668,882,490.5,1583,165,106,274,SUM-159-chem M00b,0 mM
M00b chem,0,88,low,600,911,476.9,1528.6,170,111.9,286,SUM-159-chem M00b,0 mM
M00b chem,0,96,low,554,922.5,474,1608.4,182,109.3,304.7,SUM-159-chem M00b,0 mM
M00b chem,0,104,low,534,952.5,458.9,1627,186.5,105.3,304.7,SUM-159-chem M00b,0 mM
M00b chem,0,112,low,489,937,494.6,1660.8,188,113.4,326,SUM-159-chem M00b,0 mM
M00b chem,0,120,low,419,958,468.8,1638.2,192,115.8,329.6,SUM-159-chem M00b,0 mM
M00b chem,0.1,0,low,858,383,213.7,606.9,102,61,169,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,8,low,811,565,356,878,110,79,161,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,16,low,1040,783.5,470,1262,129,91,197.1,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,24,low,1140,991,558.9,1595.4,147,100,239,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,32,low,1244,1065.5,597.6,1794.8,159,107,257,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,40,low,1262,1084,588,1853.2,169,110,285.9,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,48,low,1272,1093,600.1,1915.7,176.5,117,288.9,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,56,low,1305,1083,630,1912,181,121,294.6,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,64,low,1297,1080,622.6,1973.4,186,119,295,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,72,low,1281,1105,609,1997,188,125,293,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,80,low,1289,1062,587,1996.6,194,127,304.2,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,88,low,1238,1066.5,577,1999,195,124,314.3,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,96,low,1147,1040,556,1883.4,199,124.6,320.4,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,104,low,1015,982,552,1847.2,201,124,322.6,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,112,low,911,992,527,1842,205,126,338,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,120,low,815,977,512.8,1860.6,211,122.4,351.2,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.25,0,low,1051,377,244,616,102,65,168,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,8,low,1035,538,335,870.6,107,76,153,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,16,low,1440,809,474,1270.2,126,91,195,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,24,low,1636,1074.5,605.5,1714.5,147,102.5,232.5,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,32,low,1867,1158,651.6,1874.4,157,108,249,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,40,low,2092,1124,618.1,1968.5,159,108,252,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,48,low,2170,1090,612.9,1994.3,159,110,262,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,56,low,2179,1033,591,2001.2,164,112,258,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,64,low,2074,970,564,1949.7,164,110.3,264,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,72,low,2028,971,563,1955.2,168,114,269,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,80,low,1903,932,517.2,1898,173,113,268,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,88,low,1774,909.5,492,1924,175,113.3,281,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,96,low,1538,880,497,1830,174,111,282,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,104,low,1262,866.5,468.1,1782.8,174.5,109,288,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,112,low,996,865,465,1772,178,109,299,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,120,low,758,838,466,1841.1,182,104,309,SUM-159-chem M00b,0.25 mM
M00b chem,0.5,0,low,1073,389,246,643,104,66.2,169,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,8,low,1130,560,349,885,111,78,164,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,16,low,1602,824.5,479.1,1310,130,91,201,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,24,low,1861,1109,635,1756,152,106,235,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,32,low,2389,1147,655.8,1917,154,103,242,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,40,low,2885,1169,675,1991.6,159,110,248,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,48,low,3337,1115,623,2058.2,159,108,250,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,56,low,3522,1020,575.1,1930,159,110,253,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,64,low,3422,917,529,1842.8,158,110,257,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,72,low,3120,838,491,1869.3,160,110,266,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,80,low,2717,809,465.6,1812.4,161,109,273,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,88,low,2082,781.5,442.1,1847.4,162,108,286.9,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,96,low,1443,795,451.2,1940.8,168,105,306.8,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,104,low,910,839,452.8,2065.7,172.5,102.9,310.2,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,112,low,618,907,452.8,2076.6,181,99,304,SUM-159-chem M00b,★ 0.5 mM
M00b chem,0.5,120,low,373,1032,507.2,2284.2,188,97.2,328.4,SUM-159-chem M00b,★ 0.5 mM
M00b chem,1,0,low,1042,367,231,599,102,62,165,SUM-159-chem M00b,★ 1 mM
M00b chem,1,8,low,1167,543,340.2,882.4,109,74.6,165.8,SUM-159-chem M00b,★ 1 mM
M00b chem,1,16,low,1588,844.5,478.7,1368.3,132,90,210,SUM-159-chem M00b,★ 1 mM
M00b chem,1,24,low,1896,1098.5,630,1759.5,151,104,249,SUM-159-chem M00b,★ 1 mM
M00b chem,1,32,low,2546,1104,626,1776.5,154,105,249,SUM-159-chem M00b,★ 1 mM
M00b chem,1,40,low,3232,1097.5,604.1,1884.9,158,107,251,SUM-159-chem M00b,★ 1 mM
M00b chem,1,48,low,4388,1010,568,1772.3,152,105,242.3,SUM-159-chem M00b,★ 1 mM
M00b chem,1,56,low,5144,1034,570,1778.4,159,110,239,SUM-159-chem M00b,★ 1 mM
M00b chem,1,64,low,5340,971,539,1738,162,112,248,SUM-159-chem M00b,★ 1 mM
M00b chem,1,72,low,4995,852,479,1628.4,161,112,247.6,SUM-159-chem M00b,★ 1 mM
M00b chem,1,80,low,4263,739,436,1485.2,158,111,246.8,SUM-159-chem M00b,★ 1 mM
M00b chem,1,88,low,2535,723,408.4,1488.6,157,106,266,SUM-159-chem M00b,★ 1 mM
M00b chem,1,96,low,1001,729,388,1755,161,100,295,SUM-159-chem M00b,★ 1 mM
M00b chem,1,104,low,474,816.5,407.5,2105.7,160,91.3,299.7,SUM-159-chem M00b,★ 1 mM
M00b chem,1,112,low,247,972,415.2,2533.6,165,89,310,SUM-159-chem M00b,★ 1 mM
M00b chem,1,120,low,145,1017,370.4,2788.2,166,84,337.2,SUM-159-chem M00b,★ 1 mM
M00b chem,0,0,high,1859,780,415.8,1368.6,196,110.8,375,SUM-159-chem M00b,0 mM
M00b chem,0,8,high,1686,951,510.5,1734,156,104,243,SUM-159-chem M00b,0 mM
M00b chem,0,16,high,1677,1083,583.6,1952.4,162,111.6,255.4,SUM-159-chem M00b,0 mM
M00b chem,0,24,high,1525,1122,606.4,2091.2,169,112,275,SUM-159-chem M00b,0 mM
M00b chem,0,32,high,1390,1175.5,637.7,2292.4,181,115,297.3,SUM-159-chem M00b,0 mM
M00b chem,0,40,high,1237,1218,599,2433.8,188,118,313,SUM-159-chem M00b,0 mM
M00b chem,0,48,high,1165,1213,631,2325.8,196,123,334,SUM-159-chem M00b,0 mM
M00b chem,0,56,high,1062,1295,637.1,2568.3,207,128,370.9,SUM-159-chem M00b,0 mM
M00b chem,0,64,high,967,1327,618.6,2595.8,212,123,358.4,SUM-159-chem M00b,0 mM
M00b chem,0,72,high,910,1416.5,599.9,2697.3,225.5,125,422,SUM-159-chem M00b,0 mM
M00b chem,0,80,high,751,1407,570,2769,227,116,411,SUM-159-chem M00b,0 mM
M00b chem,0,88,high,613,1439,567.6,2765,231,113.2,423.2,SUM-159-chem M00b,0 mM
M00b chem,0,96,high,502,1411.5,476,2866.7,227,94,410.6,SUM-159-chem M00b,0 mM
M00b chem,0,104,high,420,1317,413.7,2742.3,227,83,405.2,SUM-159-chem M00b,0 mM
M00b chem,0,112,high,348,1129,345.9,2701.9,216,76.7,367.4,SUM-159-chem M00b,0 mM
M00b chem,0,120,high,267,1198,354.2,2808.6,214,66.6,393,SUM-159-chem M00b,0 mM
M00b chem,0.1,0,high,1968,693,395.7,1204.3,184,100,337.3,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,8,high,2013,950,524.2,1734.6,153,103,234,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,16,high,2142,1336.5,676.5,2375.9,172,115,277.9,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,24,high,2119,1511,744.6,2793,188,124,311.2,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,32,high,2025,1618,809.8,3006,199,131.4,352,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,40,high,2001,1608,766,3185,211,132,380,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,48,high,2027,1543,723,3247.8,216,134,385,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,56,high,2015,1559,760.2,3289.6,223,141,406.6,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,64,high,2020,1549,725.5,3213.2,232,140,429.1,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,72,high,1945,1589,758.8,3324,244,142.4,448.2,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,80,high,1826,1548.5,660.5,3409.5,251,137.5,476.5,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,88,high,1671,1560,692,3354,250,139,479,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,96,high,1513,1583,682.6,3486.8,258,135,484.6,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,104,high,1402,1618.5,683.7,3603.9,266,134,529.300000000001,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,112,high,1200,1594,657.9,3764.2,265.5,124,518.1,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.1,120,high,1028,1713.5,648.4,3989.5,270.5,117.4,542.3,SUM-159-chem M00b,★ 0.1 mM
M00b chem,0.25,0,high,2163,657,376,1130.2,176,101,315.8,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,8,high,2107,907,497,1642.4,153,101,243.4,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,16,high,2347,1316,658,2392.2,170,112,285,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,24,high,2381,1579,735,2898,191,124,319,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,32,high,2336,1648,759,3307.5,206,132,364,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,40,high,2386,1629.5,752.5,3306,215,130.5,380.5,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,48,high,2406,1511,713,3396.5,218,132,396,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,56,high,2347,1520,722.2,3388.2,225,138,426.4,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,64,high,2340,1504.5,694.9,3387.4,234.5,140,433,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,72,high,2309,1482,691,3221.4,237,138,419.2,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,80,high,2144,1495,695.3,3336.4,240,137,440,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,88,high,1988,1507.5,663,3388.2,243,134.7,467.6,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,96,high,1750,1461.5,667.8,3404.5,244,131.9,481.1,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,104,high,1632,1481,649,3415.1,243,125.1,486.9,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,112,high,1427,1485,653.2,3482.6,249,112,499,SUM-159-chem M00b,0.25 mM
M00b chem,0.25,120,high,1157,1486,665.6,3643.4,254,117,513.6,SUM-159-chem M00b,0.25 mM
M00b chem,5,0,high,1774,655,384,1090.4,176,104,298.7,SUM-159-chem M00b,5 mM
M00b chem,5,8,high,1941,901,493,1592,153,100,239,SUM-159-chem M00b,5 mM
M00b chem,5,16,high,2118,1313,684.4,2334.3,175,114,283.3,SUM-159-chem M00b,5 mM
M00b chem,5,24,high,2270,1583.5,772.9,2943.3,194,123,330,SUM-159-chem M00b,5 mM
M00b chem,5,32,high,2637,1533,715,3163.8,196,122,350.4,SUM-159-chem M00b,5 mM
M00b chem,5,40,high,3276,1374,677.5,2952.5,193,122,352,SUM-159-chem M00b,5 mM
M00b chem,5,48,high,4080,1293.5,637,2775,189,118,342,SUM-159-chem M00b,5 mM
M00b chem,5,56,high,5078,1222.5,618,2646.3,189,122,343,SUM-159-chem M00b,5 mM
M00b chem,5,64,high,6075,1178,581.4,2581.6,190,118,330,SUM-159-chem M00b,5 mM
M00b chem,5,72,high,7396,1144,569,2428.5,185,118,324,SUM-159-chem M00b,5 mM
M00b chem,5,80,high,8392,1098,561.1,2290.7,187,118,321,SUM-159-chem M00b,5 mM
M00b chem,5,88,high,9297,1084,546,2220.4,189,116,325,SUM-159-chem M00b,5 mM
M00b chem,5,96,high,10405,1036,524,2103,187,114,316,SUM-159-chem M00b,5 mM
M00b chem,5,104,high,11370,1045,540.9,2088,189,119,310,SUM-159-chem M00b,5 mM
M00b chem,5,112,high,10607,948,509,1906,189,117,308,SUM-159-chem M00b,5 mM
M00b chem,5,120,high,5635,741,409,1506.6,160,85,289,SUM-159-chem M00b,5 mM
M00b chem,5,0,low,842,381.5,204,636.8,102,59,162.9,SUM-159-chem M00b,5 mM
M00b chem,5,8,low,863,555,337,903,111,78,167,SUM-159-chem M00b,5 mM
M00b chem,5,16,low,1189,813,458,1291.2,134,92,205,SUM-159-chem M00b,5 mM
M00b chem,5,24,low,1395,1089,566,1705.4,159,102,253,SUM-159-chem M00b,5 mM
M00b chem,5,32,low,1790,1106,601,1815.1,164,108.9,266,SUM-159-chem M00b,5 mM
M00b chem,5,40,low,2272,1163,646.1,1940.9,168,113,268,SUM-159-chem M00b,5 mM
M00b chem,5,48,low,2944,1101.5,594.3,1899.5,166,110,265,SUM-159-chem M00b,5 mM
M00b chem,5,56,low,3768,1053,581.7,1811,167,113,263,SUM-159-chem M00b,5 mM
