context,G0_mM,hours,ploidy_state,n_objects,n_images,n_wells,q10,median,q90,metric,total_segmented_area_px,n_cells
M00b chem,1,56,high,3977,16,4,130,209,390,nuclear,6969125,3984
M00b chem,1,64,high,3881,16,4,134,215,400,nuclear,6476849,3887
M00b chem,1,72,high,3544,16,4,133.3,214,417,nuclear,5781679,3550
M00b chem,1,80,high,2599,16,4,120.8,221,427.2,nuclear,4231504,2607
M00b chem,1,88,high,1681,16,4,108,228,460,nuclear,2821241,1689
M00b chem,1,96,high,1144,16,4,110,229.5,459.4,nuclear,1971267,1168
M00b chem,1,104,high,819,16,4,103,229,494.6,nuclear,1516130,863
M00b chem,1,112,high,598,16,4,90.7,231,475.100000000001,nuclear,1160201,644
M00b chem,1,120,high,445,16,4,95.4,239,507,nuclear,884045,462
M00b chem,0.5,0,low,1073,16,4,66.2,104,169,nuclear,455366,1074
M00b chem,0.5,8,low,1130,16,4,78,111,164,nuclear,680284,1132
M00b chem,0.5,16,low,1602,16,4,91,130,201,nuclear,1402891,1602
M00b chem,0.5,24,low,1861,16,4,106,152,235,nuclear,2170712,1861
M00b chem,0.5,32,low,2389,16,4,103,154,242,nuclear,2960175,2390
M00b chem,0.5,40,low,2885,16,4,110,159,248,nuclear,3705601,2885
M00b chem,0.5,48,low,3337,16,4,108,159,250,nuclear,4195093,3337
M00b chem,0.5,56,low,3522,16,4,110,159,253,nuclear,4135333,3523
M00b chem,0.5,64,low,3422,16,4,110,158,257,nuclear,3717329,3422
M00b chem,0.5,72,low,3120,16,4,110,160,266,nuclear,3243206,3120
M00b chem,0.5,80,low,2717,16,4,109,161,273,nuclear,2715413,2717
M00b chem,0.5,88,low,2082,16,4,108,162,286.9,nuclear,2064575,2082
M00b chem,0.5,96,low,1443,16,4,105,168,306.8,nuclear,1474557,1443
M00b chem,0.5,104,low,910,16,4,102.9,172.5,310.2,nuclear,975623,910
M00b chem,0.5,112,low,618,16,4,99,181,304,nuclear,687890,618
M00b chem,0.5,120,low,373,16,4,97.2,188,328.4,nuclear,459591,373
M00b chem,1,0,low,1042,16,4,62,102,165,nuclear,416054,1046
M00b chem,1,8,low,1167,16,4,74.6,109,165.8,nuclear,691856,1173
M00b chem,1,16,low,1588,16,4,90,132,210,nuclear,1421034,1589
M00b chem,1,24,low,1896,16,4,104,151,249,nuclear,2209938,1898
M00b chem,1,32,low,2546,16,4,105,154,249,nuclear,3000658,2546
M00b chem,1,40,low,3232,16,4,107,158,251,nuclear,3887467,3232
M00b chem,1,48,low,4388,16,4,105,152,242.3,nuclear,4951571,4388
M00b chem,1,56,low,5144,16,4,110,159,239,nuclear,5920931,5145
M00b chem,1,64,low,5340,16,4,112,162,248,nuclear,5833809,5340
M00b chem,1,72,low,4995,16,4,112,161,247.6,nuclear,4958866,4996
M00b chem,1,80,low,4263,16,4,111,158,246.8,nuclear,3829338,4263
M00b chem,1,88,low,2535,16,4,106,157,266,nuclear,2239897,2536
M00b chem,1,96,low,1001,16,4,100,161,295,nuclear,971308,1002
M00b chem,1,104,low,474,16,4,91.3,160,299.7,nuclear,510345,474
M00b chem,1,112,low,247,16,4,89,165,310,nuclear,303338,248
M00b chem,1,120,low,145,16,4,84,166,337.2,nuclear,190949,145
J00 mixture,0.5,0,low,1608,16,4,91,143,221,nuclear,1203189,1611
J00 mixture,0.5,0,high,681,16,4,80,127,206,nuclear,447174,681
J00 mixture,0.5,8,low,1722,16,4,98,141,229.9,nuclear,1697496,1723
J00 mixture,0.5,8,high,1198,16,4,121,164,240.3,nuclear,1282853,1198
J00 mixture,0.5,16,high,1753,16,4,137,194,268.8,nuclear,2682901,1753
J00 mixture,0.5,16,low,2254,16,4,108,156,242.7,nuclear,3075082,2254
J00 mixture,0.5,24,high,2231,16,4,132,208,289,nuclear,3653724,2231
J00 mixture,0.5,24,low,2487,16,4,125,182,265.4,nuclear,4253110,2487
J00 mixture,0.5,32,high,3203,16,4,144,215,289,nuclear,5044388,3203
J00 mixture,0.5,32,low,2941,16,4,128,197,287,nuclear,5256199,2941
J00 mixture,0.5,40,high,3785,16,4,147,223,300,nuclear,5925082,3786
J00 mixture,0.5,40,low,3266,16,4,137,203,299,nuclear,5807019,3266
J00 mixture,0.5,48,high,4290,16,4,144.9,220,300,nuclear,6185336,4293
J00 mixture,0.5,48,low,3406,16,4,141,206,304,nuclear,5861991,3408
J00 mixture,0.5,56,high,4465,16,4,148.4,216,301.6,nuclear,6043258,4470
J00 mixture,0.5,56,low,3471,16,4,140,205,306,nuclear,5731092,3475
J00 mixture,0.5,64,low,3401,16,4,132,198,307,nuclear,5244454,3403
J00 mixture,0.5,64,high,4175,16,4,144,208,303,nuclear,5381307,4179
J00 mixture,0.5,80,high,2587,16,4,109,184,292.4,nuclear,2893674,2599
J00 mixture,0.5,80,low,2233,16,4,106,172,284,nuclear,2969150,2246
J00 mixture,0.5,88,high,1675,16,4,100,179,280,nuclear,1866209,1693
J00 mixture,0.5,88,low,1543,16,4,98,168,279,nuclear,1953910,1553
J00 mixture,0.5,96,high,1064,16,4,97.3,186,295,nuclear,1228002,1085
J00 mixture,0.5,96,low,1054,16,4,84,166.5,288.8,nuclear,1305699,1071
J00 mixture,0.5,104,high,697,16,4,97,195,309.4,nuclear,804282,724
J00 mixture,0.5,104,low,716,16,4,82.5,163,285,nuclear,841915,745
J00 mixture,0.5,112,low,402,16,4,78,171.5,304,nuclear,468211,421
J00 mixture,0.5,112,high,438,16,4,89.7,195,302.9,nuclear,457057,452
J00 mixture,0.5,120,high,221,16,4,102,219,343,nuclear,235262,226
J00 mixture,0.5,120,low,200,16,4,88.9,185.5,335.2,nuclear,217418,205
J00 mixture,1,0,low,1487,16,4,92,141,223.4,nuclear,1121210,1489
J00 mixture,1,0,high,559,16,4,83.8,123,196.2,nuclear,368118,559
J00 mixture,1,8,low,1714,16,4,99,140,234,nuclear,1652482,1715
J00 mixture,1,8,high,1090,16,4,120,163,240.1,nuclear,1177495,1090
J00 mixture,1,16,low,2204,16,4,112,157,239.7,nuclear,2948868,2204
J00 mixture,1,16,high,1615,16,4,135,197,280.6,nuclear,2503810,1615
J00 mixture,1,24,low,2525,16,4,123,184,268,nuclear,4131431,2525
J00 mixture,1,24,high,2095,16,4,127,205,290,nuclear,3250414,2095
J00 mixture,1,32,low,3278,16,4,125.7,189,281,nuclear,5374530,3279
J00 mixture,1,32,high,3213,16,4,140.2,212,287,nuclear,4669693,3213
J00 mixture,1,40,low,3917,16,4,134.6,204,298,nuclear,6808506,3918
J00 mixture,1,40,high,4290,16,4,133,208,287,nuclear,6055933,4290
J00 mixture,1,48,low,4294,16,4,144,216,311,nuclear,7538559,4294
J00 mixture,1,48,high,5347,16,4,144,212,289,nuclear,7256285,5347
J00 mixture,1,56,low,4330,16,4,148,220.5,323,nuclear,7368527,4330
J00 mixture,1,56,high,5726,16,4,154,219,297,nuclear,7638890,5726
J00 mixture,1,64,low,4313,16,4,146.2,219,322,nuclear,6909349,4313
J00 mixture,1,64,high,5709,16,4,160,223,303,nuclear,7261952,5710
J00 mixture,1,80,low,3422,16,4,118,198,309,nuclear,4657124,3433
J00 mixture,1,80,high,3757,16,4,123.6,206,300,nuclear,4147804,3762
J00 mixture,1,88,high,2678,16,4,107,196,291,nuclear,2840086,2690
J00 mixture,1,88,low,2459,16,4,106,194,310,nuclear,3334515,2477
J00 mixture,1,96,high,1756,16,4,96,191,294,nuclear,1893543,1768
J00 mixture,1,96,low,1623,16,4,96,188,303,nuclear,2255696,1648
J00 mixture,1,104,high,1031,16,4,88,190,292,nuclear,1133802,1062
J00 mixture,1,104,low,915,16,4,87.2,183,303,nuclear,1288018,939
J00 mixture,1,112,low,474,16,4,75,178,313.7,nuclear,684667,505
J00 mixture,1,112,high,486,16,4,91.5,199.5,301.5,nuclear,594616,536
J00 mixture,1,120,low,208,16,4,59.7,168.5,310,nuclear,283892,229
J00 mixture,1,120,high,189,16,4,84.8,180,309.4,nuclear,267958,231
